,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE,X,Y
0,0.2001428571428571,912.2957142857144,912.5854285714286,912.011285714286,1158.552428571429,17.793857142857142,13.104571428571427,18.34542857142857,17.283857142857144,13.661714285714282,12.57628571428571,77.22442857142859,71.23785714285717,74.32642857142861,128.5498571428571,5.69,2.2231428571428573,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724,673850.7221321154,7186355.862258
1,0.2248571428571427,924.077,924.3809999999996,923.7741428571431,1291.3667142857144,19.366571428571422,14.477000000000004,19.996714285714287,18.77014285714285,14.991285714285718,13.996857142857143,79.06028571428571,73.41685714285715,76.2845714285714,153.87871428571432,4.969714285714286,1.681285714285714,"IVAI, Parana, Brazil",-25.0069795,-50.8568896,514440.4228127612,7234271.798444
2,0.1828571428571429,904.6852857142856,904.961,904.4111428571424,1176.4424285714288,17.851571428571425,13.767571428571433,18.457571428571423,17.275428571428566,14.281428571428574,13.289428571428576,82.49657142857139,77.33314285714287,79.96157142857139,145.64142857142852,5.102428571428572,1.770714285714286,"CASTRO, Parana, Brazil",-24.794072,-49.9972914,601354.4050482826,7257482.106270
3,0.2572307692307691,967.254,967.5780000000002,966.9436923076926,1394.7067692307692,23.10692307692308,15.766153846153838,23.826307692307687,22.423384615384617,16.29492307692308,15.259692307692305,70.22061538461537,64.53661538461539,67.40815384615381,147.42369230769236,6.982923076923076,3.758307692307693,"MAL. CANDIDO RONDON, Parana, Brazil",-24.5582532,-54.0587821,190147.7611135015,7280525.086806
4,0.2061538461538461,955.1190769230776,955.446769230769,954.7987692307692,1415.9392307692306,22.04353846153846,15.588307692307694,22.74276923076923,21.37138461538461,16.165846153846154,15.06461538461538,72.75107692307691,66.93492307692308,69.84953846153844,169.5284615384615,6.581384615384616,2.726,"JOAQUIM TAVORA, Parana, Brazil",-23.4999724,-49.9232545,609940.3749623693,7400719.723383
5,0.2101538461538461,939.3087692307694,939.6052307692308,939.0178461538462,1431.3072307692314,21.49615384615384,15.23415384615384,22.15523076923077,20.862461538461528,15.80738461538462,14.705999999999996,73.07769230769229,67.65661538461542,70.38753846153843,179.4195384615386,3.196461538461539,1.4827692307692304,"NOVA TEBAS, Parana, Brazil",-24.437958,-51.945357,404172.04655963264,7296956.944486
6,0.24955223880597,881.2582089552237,881.5300000000001,880.9873134328357,1179.426119402985,16.387611940298505,13.09597014925373,17.007611940298503,15.81880597014926,13.647611940298509,12.59865671641791,85.71119402985079,80.41567164179104,83.15432835820894,147.9326865671642,5.294328358208956,2.251641791044776,"INACIO MARTINS, Parana, Brazil",-25.5725435,-51.0764637,492320.2086889042,7171650.660356
7,0.2284615384615385,968.7998461538464,969.2436923076924,968.3681538461536,1150.4320000000007,24.06738461538464,16.748923076923074,24.651538461538465,23.501999999999995,17.25123076923077,16.269230769230766,69.31661538461542,64.42661538461536,66.89876923076923,149.23507692307695,6.063692307692304,2.7772307692307696,"ICARAIMA, Parana, Brazil",-23.3948345,-53.6162036,232609.55510827107,7410345.965669
8,0.2204615384615384,951.1923076923076,951.5004615384616,950.8986153846154,1255.1273846153842,23.98615384615384,14.848307692307692,24.607384615384607,23.381538461538472,15.41230769230769,14.341384615384612,63.595692307692296,58.29892307692307,60.92753846153846,151.36153846153846,5.983692307692308,2.219384615384615,"MARINGA, Parana, Brazil",-23.425269,-51.9382078,404151.9279137764,7409089.814224
9,0.1803076923076924,938.4719999999992,938.7695384615386,938.1867692307692,1486.1346153846152,21.630000000000013,15.01846153846153,22.33799999999999,20.946,15.59092307692308,14.484769230769226,72.08830769230772,66.77707692307692,69.43953846153849,210.1709230769232,7.322769230769234,3.632923076923076,"NOVA FATIMA, Parana, Brazil",-23.433056,-50.5618055,544762.6077982867,7408471.674155
10,0.2727692307692308,950.9160000000004,951.2133846153844,950.626,1339.6478461538454,21.01907692307693,15.16,21.680923076923083,20.35353846153845,15.7116923076923,14.640000000000004,75.37584615384613,69.45892307692311,72.39107692307695,175.97969230769226,5.289076923076922,2.3935384615384616,"DOIS VIZINHOS, Parana, Brazil",-25.7464681,-53.0554369,293829.4089369334,7150785.852619
11,0.2391803278688524,984.9468852459014,985.2745901639344,984.622295081967,1418.1985245901633,22.10065573770493,16.60016393442623,22.77000000000001,21.44901639344262,17.172295081967214,16.071147540983613,77.03360655737703,71.61672131147542,74.32327868852461,164.20377049180334,5.868032786885248,2.802459016393441,"FOZ DO IGUACU, Parana, Brazil",-25.5401479,-54.5858139,139605.69007925544,7170373.813540
